cultivos,evaluacion_definitiva_semestre_a2013_area_sembr_ha,evaluacion_definitiva_semestre_a2013_area_cosech_ha,evaluacion_definitiva_semestre_a2013_produc_ton,evaluacion_definitiva_semestre_a2013_rendim_tha,evaluacion_definitiva_semestre_a2013_precio_al_producr_ton,evaluacion_definitiva_semestre_a2013_costos_de_produc_ha,evaluacion_definitiva_semestre_a2013_calific_rendim_ento_a,evaluacion_definitiva_semestre_a2013_m,evaluacion_definitiva_semestre_a2013_b,semestre_b2013_area_sembr_ha,semestre_b2013_area_cosech_ha,semestre_b2013_produc_esperad_ton,semestre_b2013_rendim_tha,semestre_b2013_precio_al_producr_ton,semestre_b2013_costos_de_produc_ha,consolidado_evaluacion_ano_2013_area_sembr_ha,consolidado_evaluacion_ano_2013_area_cosech_ha,consolidado_evaluacion_ano_2013_esperad_ton,consolidado_evaluacion_ano_2013_produc_rendim_tha,consolidado_evaluacion_ano_2013_del_produc,consolidado_evaluacion_ano_2013_estado_precio_al_producr_ton,consolidado_evaluacion_ano_2013_costos_de_produc_ha,pronostico_semestre_a2014_area_sembr_ha,pronostico_semestre_a2014_area_cosech_ha,pronostico_semestre_a2014_esperad_ton,pronostico_semestre_a2014_produc_tha,ano_vigencia
algodon,2230.1799999999998,2146.3600000000001,6157.7704400000002,2.86893645054884,2255000,5966415.2195071401,,,,0,0,0,0,0,0,2230.1799999999998,2146.3599999999997,6157.7704400000002,2.868936450548837,SEMILLA,2255000,5966415.2195071373,0,0,0,0,2011
algodon,1454.5899999999999,1454.5899999999999,4152.6859999999997,2.85488419417155,1942500,4950000,,,,0,0,0,0,0,0,1454.5899999999999,1454.5899999999999,4152.6859999999997,2.854884194171553,SEMILLA,1942500,4950000,572,572,1634,2.856643356643357,2007
sorgo,807,789,3254.1999999999998,4.12446134347275,585000,2600849.6961932699,,,,599,577,2378.1999999999998,4.121663778162912,580000,2600849.6961932648,1406,1366,5632.3999999999996,4.123279648609078,G-SECO,582500,2600849.6961932653,0,0,0,0,2013
maiz tec. blanco,2013,2010,7433.8000000000002,3.69840796019901,700000,2500000,,,,1551,1542,5151.3000000000002,3.340661478599222,787948.77021334425,2605600,3564,3552,12585.1,3.543102477477478,G-SECO,743974.38510667207,2552800,1514,1514,5240.8000000000002,3.461558784676354,2008
frijol tradicio.,4150,4148,2553.5500000000002,0.615609932497589,2000000,1698950,,,,3766,3591,2159.8499999999999,0.601461988304094,2500000.0000000009,1698950,7916,7739,4713.3999999999996,0.609045096265667,G-SECO,2250000.0000000005,1698950,0,0,0,0,2012
papa,38,38,271,7.13157894736842,614500,3700000,,,,30,28,157,5.607142857142857,616000,3700000,68,66,428,6.484848484848484,TUBER,615250,3700000,0,0,0,0,2012
papa,29,27,192,7.11111111111111,381000,3848000,,,,24,23,152,6.608695652173913,403999.99999999994,3848000,53,50,344,6.88,TUBER,392500,3848000,0,0,0,0,2013
arveja,869,838,4663.3999999999996,5.56491646778043,1725578.9767122699,3501495.97238205,,,,913,911,5216,5.725576289791438,1779398.0061349696,3525629.7918948522,1782,1749,9879.3999999999996,5.648599199542596,VERDE,1752488.4914236199,3513562.8821384497,940,940,5412,5.757446808510639,2007
maiz.trad. blanco,2695,2695,4024.1999999999998,1.49320964749536,860000,1360415.5959228501,,,,2147,2087,2984.2999999999997,1.429947292764734,869999.99999999988,1360415.5959228538,4842,4782,7008.5,1.465600167294019,G-SECO,865000,1360415.5959228536,0,0,0,0,2012
maiz. tec. amarillo,6782,6662,25015,3.75487841489042,865000,3211444.7661896599,,,,5537,5318,19963.400000000001,3.75393004889056,880000,3211444.7661896572,12319,11980,44978.400000000001,3.754457429048414,G-SECO,872500,3211444.7661896581,0,0,0,0,2013
tabaco rubio,1304.5,1284,3087.1999999999998,2.40436137071651,5720000,12399322.0619282,,,,867.20000000000005,847.5,2000.5500000000002,2.360530973451328,5720000,12399322.061928218,2171.6999999999998,2131.5,5087.75,2.386934083978419,H-SECA,5720000,12399322.06192822,0,0,0,0,2013
soya,5,5,12.5,2.5,1116000,2150000,,,,3,3,7.5,2.5,1116000,2150000,8,8,20,2.5,G-SEGO,1116000,2150000,0,0,0,0,2012
frijol tecnifica,8441,8281,11050.85,1.33448255041662,2685000,5586606.1870620102,,,,7980,7772.5,10295.799999999999,1.324644580250884,2864999.9999999995,5586606.1870620111,16421,16053.5,21346.649999999998,1.329719375837045,G-SECO,2775000,5586606.1870620111,0,0,0,0,2013
frijol tecnifica,8656,8538,11864.5,1.38961115015226,3195616.1237304602,3750000,,,,8221,8221,11771.6,1.43189393017881,3056889.88752591,3850000,16877,16759,23636.099999999999,1.41035264633928,G-SECO,3126253.0056281826,3800000,8669,8669,12807.5,1.477390702503172,2007
tabaco rubio,1394.2,1394.2,3281.2600000000002,2.35350738774925,4700000,10700000,,,,379.5,379.5,865.97500000000002,2.281884057971014,4769680.1293339878,10961000,1773.7,1773.7,4147.2350000000006,2.338182894514293,H-SECA,4734840.0646669939,10830500,1175,1175,2915.1999999999998,2.481021276595745,2008
soya,4,4,10,2.5,981000,2214200,,,,4,4,10,2.5,951700,2214500,8,8,20,2.5,G-SEGO,951700,2214500,0,0,0,0,2013
tomate mesa,760,688,11550.5,16.788517441860499,1050000,12898131.3256416,,,,660,631.5,10562.5,16.726049089469516,1082000.0000000002,12898131.325641615,1420,1319.5,22113,16.758620689655171,VERDE,1066000,12898131.325641617,0,0,0,0,2011
maiz. tec. amarillo,6020,5923.5,21713.5,3.66565375200473,773740.78798903897,2893500,,,,5886,5827,22064.399999999998,3.786579715119272,826827.33271695604,2909000,11906,11750.5,43777.899999999994,3.725620186375048,G-SECO,800284.06035299762,2901250,5649,5649,21506.5,3.807134006018764,2009
tabaco negro,0,0,0,,,,,,,0,0,0,,,,0,0,0,,H-SECA,,,0,0,0,0,2014
frijol tradicio.,4148,4073,2965.3499999999999,0.728050576970292,2665789.8730335399,1300000,,,,4016,4006,2918.6500000000001,0.728569645531702,2754883.250818016,1300000,8164,8079,5884,0.728307958905805,G-SECO,2710336.5619257768,1300000,4059,4059,2922.75,0.720066518847007,2007
maiz.trad. amaril,5937,5919,8919.2999999999993,1.5068930562595,702385.83745361201,1020000,,,,5926,5864,8664.1000000000004,1.477506821282401,759933.86502925854,1076000,11863,11783,17583.400000000001,1.492268522447594,G-SECO,731159.85124143527,1048000,6365,6365,9538.5,1.498586017282011,2008
melon,30,30,560,18.6666666666667,574000,2500000,,,,32,32,605,18.90625,668661.15702479333,2700000,62,62,1165,18.79032258064516,FRUTA,621330.57851239666,2600000,33,33,658,19.939393939393938,2008
ahuyama,398,385,5749,14.9324675324675,565000,3673359.57782673,,,,304,296,4514.5,15.251689189189189,546000,3673359.5778267253,702,681,10263.5,15.071218795888399,FRUTA,555500,3673359.5778267253,0,0,0,0,2014
cebolla cabeza,27,24.5,368.80000000000001,15.053061224489801,911008.67678958795,6155000,,,,77,76.5,1060.5,13.862745098039216,858613.86138613848,6278000,104,101,1429.3,14.151485148514851,BULBO,884811.26908786315,6216500,76,76,1103,14.513157894736842,2009
maiz. tec. amarillo,5684.5,5669.5,21399.400000000001,3.77447746714878,712930.92329691502,2500000,,,,5775,5688,20681.200000000001,3.635935302390999,810425.65228323324,2605600,11459.5,11357.5,42080.599999999999,3.70509355051728,G-SECO,761678.28779007401,2552800,5911,5911,22042.5,3.729064456098799,2008
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
tabaco rubio,1146.5999999999999,1145.5999999999999,2579.75,2.25187674581006,5010000,11456300,,,,594,589.5,1344.6799999999998,2.281051738761662,5512859.9369366709,11468800,1740.6000000000001,1735.1000000000001,3924.4299999999998,2.261788945882081,H-SECA,5261429.9684683364,11462550,1034,1034,2468.8000000000002,2.38762088974855,2009
sorgo,1352,1352,5130.5,3.79474852071006,447079.23204366001,1675000,,,,1097,1097,4066.9000000000001,3.707292616226071,448715.97531289182,1675000,2449,2449,9197.3999999999996,3.75557370355247,G-SECO,447897.60367827612,1675000,1197,1197,4583.1000000000004,3.828822055137845,2007
maiz.trad. blanco,4775,4767,7071.8999999999996,1.48351164254248,655680.22737878095,900000,,,,4134,4134,6135.5,1.484155781325593,649522.12533615856,925000,8909,8901,13207.4,1.483810807774407,G-SECO,652601.17635746964,912500,4409,4409,6530.6999999999998,1.481220231344976,2007
pimenton,103,91,688.14999999999998,7.56208791208791,1482000,5800000,,,,70.5,65,467,7.184615384615385,1238000,5800000,173.5,156,1155.1500000000001,7.404807692307693,FRUTA,1360000,5800000,0,0,0,0,2011
pepino rellenar,0,0,0,,,,,,,0,0,0,,,,0,0,0,,0,,,0,0,0,0,2014
arveja,954,946.5,5432.5799999999999,5.73965134706815,1928595.9893825799,3850000,,,,863,828,4790.1999999999998,5.785265700483092,2154747.6097031445,3887000,1817,1774.5,10222.780000000001,5.760935474781628,VERDE,2041671.7995428611,3868500,939,939,5622,5.987220447284345,2008
sandia,98.5,98.5,1766,17.9289340101523,357197.05549263902,2250000,,,,90,90,1706,18.955555555555556,362584.99413833534,2250000,188.5,188.5,3472,18.419098143236074,FRUTA,359891.02481548709,2250000,91,91,1717,18.868131868131869,2007
maiz tec. blanco,2181,2148,8938.1000000000004,4.16112662942272,794000,3159271.7534016198,,,,1829,1787,7389.6000000000004,4.135198656966984,842999.99999999988,3159271.7534016203,4010,3935,16327.700000000001,4.149351969504448,G-SECO,818500,3159271.7534016203,0,0,0,0,2014
hortalizas,488.5,488.5,2599.75,5.32190378710338,875000,3500000,,,,452.5,417.80000000000001,2345.6599999999999,5.614313068453805,900000,3499999.9999999995,941,906.29999999999995,4945.4099999999999,5.456703078450844,VERDE,887500,3500000.0000000005,0,0,0,0,2012
soya,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
sandia,166,165.5,1421,8.58610271903323,431379.310344828,2950200,,,,183.5,183.5,1581,8.615803814713896,342779.88614800759,3135000,349.5,349,3002,8.601719197707736,FRUTA,387079.59824641759,3042600,235,235,2457,10.455319148936169,2009
sandia,74,71,1150,16.197183098591498,631000,4498804.4291338604,,,,59,56,903.5,16.133928571428573,613000,4498804.4291338585,133,127,2053.5,16.169291338582678,FRUTA,622000,4498804.4291338585,0,0,0,0,2014
maiz tec. blanco,2039,2029,6800.5,3.35165105963529,687772.22263068904,2170000,,,,1894,1894,6306.6000000000004,3.329778247096093,677393.92065455229,2250000,3933,3923,13107.1,3.341091001784349,G-SECO,682583.07164262061,2210000,2068,2068,7004.6000000000004,3.387137330754352,2007
maiz.trad. amaril,5536,5526,8017.1000000000004,1.45079623597539,860000,1379743.9577361201,,,,5327,5205.5,7467.0499999999993,1.434453942944962,875000.00000000012,1379743.9577361203,10863,10731.5,15484.15,1.44286912360807,G-SECO,867500,1379743.9577361206,0,0,0,0,2013
pimenton,227,227,1793,7.89867841409692,1013887.33965421,3700000,,,,229.5,229.5,1820,7.930283224400871,985579.67032967042,4000000,456.5,456.5,3613,7.914567360350492,FRUTA,999733.50499194069,3850000,227.5,227.5,1898,8.342857142857143,2008
pimenton,105,105,781.60000000000002,7.44380952380952,1350000,6500000,,,,61,60.5,434.89999999999998,7.188429752066115,1580000.0000000002,6500000,166,165.5,1216.5,7.350453172205438,FRUTA,1465000,6500000,0,0,0,0,2012
frijol tradicio.,3285,3044,2057.5900000000001,0.675949408672799,2837445.74963914,1488000,,,,3029.5,2983.5,1990.6699999999998,0.667226411932294,2617863.5836175759,1489999.9999999998,6314.5,6027.5,4048.2600000000002,0.671631688096226,G-SECO,2727654.666628358,1489000,3521,3521,2453.75,0.69689008804317,2009
tabaco rubio,1323,1323,3182.75,2.4057067271353,5920000,12707525.9942363,,,,759,759,1794.55,2.364361001317523,5919999.9999999991,12707525.994236311,2082,2082,4977.3000000000002,2.390634005763689,H-SECA,5920000,12707525.994236311,0,0,0,0,2014
maiz tec. blanco,1769,1711,5953.1999999999998,3.47936879018118,733061.26049855596,2893500,,,,1175,1153,4081,3.539462272333044,780826.36118598387,2909000.0000000005,2944,2864,10034.199999999999,3.503561452513966,G-SECO,756943.8108422698,2901250,1347,1347,4901.5,3.638827023014105,2009
tomate mesa,782,764,12964,16.968586387434598,950000,14057140.7477256,,,,607.5,579.5,8914.5,15.383088869715271,987000.00000000023,14057140.747725563,1389.5,1343.5,21878.5,16.284704131001117,VERDE,968500,14057140.747725565,0,0,0,0,2012
cebolla cabeza,11.5,11.5,172.5,15,620000,5650000,,,,9,9,140,15.555555555555555,923214.2857142858,5750000,20.5,20.5,312.5,15.24390243902439,BULBO,771607.14285714296,5700000,10,10,152.5,15.25,2008
arroz riego,16054,15990,109549.8,6.85114446529081,638766.521709761,4344110.5020555602,,,,15030,15030,105207,6.999800399201597,641094.68001178629,4383725.8815701921,31084,31020,214756.79999999999,6.923172147001934,P-VERDE,639930.6008607737,4363918.1918128775,15680,15680,109958,7.012627551020408,2007
sandia,87,87,1367,15.7126436781609,480000,4211306.07142857,,,,85,81,1208,14.913580246913581,537000,4211306.0714285728,172,168,2575,15.327380952380953,FRUTA,508500,4211306.0714285728,0,0,0,0,2012
tomate mesa,662.5,630.5,11009,17.4607454401269,1253646.6527386699,12147000,,,,689.5,648.5,11287.450000000001,17.405474171164226,1052999.2602403553,12223799.999999998,1352,1279,22296.450000000001,17.432720875684129,VERDE,1153322.956489512,12185399.999999998,813,813,15181,18.67281672816728,2010
arroz riego,14868,12226.5,78685.345000000001,6.43563938984992,806498,5736870,,,,15025,14671,95210.600000000006,6.489714402562879,849584.00000000023,5623999.9999999991,29893,26897.5,173895.94500000001,6.465134120271401,P-VERDE,828041,5680435,15802,15802,110005,6.961460574610808,2010
arroz riego,14980,14980,102386.5,6.83487983978638,905916,6265360.7773302402,,,,14578,14577,100251.5,6.877375317280648,914843,6265360.777330244,29558,29557,202638,6.855837872585174,P-VERDE,910379.5,6265360.777330244,0,0,0,0,2014
melon,203,199,3444,17.306532663316599,1264000,12636295,,,,201,201,3349,16.661691542288558,1365000.0000000002,12636295,404,400,6793,16.982500000000002,FRUTA,1314500,12636295,0,0,0,0,2014
sorgo,1207,1207,4738.5,3.92584921292461,590000,2045000,,,,684,684,2578.0999999999999,3.769152046783626,608882.51037585817,2135000,1891,1891,7316.6000000000004,3.869169751454257,G-SECO,599441.25518792914,2090000,636,636,2464.0999999999999,3.87437106918239,2008
tomate mesa,746,733,14178,19.342428376534802,691204.68331217405,9700000,,,,841,841,16322,19.407847800237811,658709.10427643673,9920000,1587,1574,30500,19.377382465057178,VERDE,674956.89379430516,9810000,967,967,18874,19.518097207859359,2007
papa,28,25.5,211.5,8.294117647058821,861950.35460992903,3200000,,,,24.5,19,155.65000000000001,8.192105263157895,992141.3427561837,3250000,52.5,44.5,367.14999999999998,8.250561797752809,TUBERC,927045.84868305642,3225000,44,44,409.5,9.306818181818182,2010
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2013
soya,0,0,0,0,0,0,,,,16,16,40,2.5,861390,2005000,16,16,40,2.5,G-SEGO,861390,2005000,0,0,0,0,2011
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
arroz riego,16350,16350,120623,7.37755351681957,896435,5637695.6880733902,,,,17785,17085,124579.8,7.291764705882353,784639.14856180549,5640114.3070002794,34135,33435,245202.79999999999,7.333716165694631,P-VERDE,840537.07428090274,5638904.9975368371,17306,17306,128325.2,7.415069917947532,2009
maiz.trad. amaril,5204,4973,6940.8500000000004,1.39570681681078,850000,1315000,,,,4663.5,4478,6163.9499999999998,1.376496203662349,759999.99999999988,1314999.9999999995,9867.5,9451,13104.799999999999,1.386604592106655,G-SECO,804999.99999999977,1314999.9999999995,0,0,0,0,2011
frijol tradicio.,3826,3763,2783.75,0.739768801488174,2600000,1754300,,,,3678,3562.5,2195.75,0.616350877192982,2785000.0000000005,1754299.9999999995,7504,7325.5,4979.5,0.679748822605965,G-SECO,2692500.0000000005,1754300,0,0,0,0,2013
melon,32,31.5,527.5,16.746031746031701,686398.104265403,3050000,,,,11,10,160,16,600000,3250000,43,41.5,687.5,16.566265060240966,FRUTA,643199.05213270138,3150000,8,8,144,18,2009
pimenton,109,104,764.20000000000005,7.34807692307692,1286000,6695000,,,,95,90,660,7.333333333333333,1482999.9999999998,6695000,204,194,1424.2,7.341237113402062,FRUTA,1384499.9999999998,6695000,0,0,0,0,2014
tabaco negro,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,H-SECA,0,0,0,0,0,0,2010
algodon,805,805,1846.52997,2.29382604968944,2127150,5498800,,,,0,0,0,0,0,0,805,805,1846.52997,2.293826049689441,SEMILLA,2127150,5498800,0,0,0,0,2009
maiz.trad. blanco,3073,2925,4179.1000000000004,1.42875213675214,717814.84051590099,1290000,,,,2457.5,2434.5,3465.5999999999999,1.423536660505237,737351.25230840291,1279999.9999999998,5530.5,5359.5,7644.7000000000007,1.426383058121094,G-SECO,727583.04641215177,1284999.9999999998,2536,2536,3776.5,1.489156151419558,2009
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
frijol tradicio.,4049,3952,2827.4200000000001,0.71544028340081,2723531.7002779902,1331500,,,,3779,3698,2584.6900000000001,0.69894267171444,2765657.583694756,1335700,7828,7650,5412.1099999999997,0.707465359477124,G-SECO,2744594.6419863738,1333600,4083,4083,3047.1500000000001,0.746301738917463,2008
papa,36,31.5,218,6.92063492063492,837000,3500000,,,,23,21.5,139,6.465116279069767,817093.52517985611,3499999.9999999991,59,53,357,6.735849056603773,TUBER,827046.762589928,3499999.9999999995,0,0,0,0,2011
sorgo,559,559,2245,4.01610017889088,625500,2611379.2920353999,,,,352,345,1367.5,3.963768115942029,620000,2611379.2920353981,911,904,3612.5,3.996128318584071,G-SECO,622750,2611379.2920353981,0,0,0,0,2012
pimenton,148,147,1088.5,7.40476190476191,1811001.3780431801,4730000,,,,76,60,375.39999999999998,6.256666666666666,1505063.9318060733,4750000,224,207,1463.9000000000001,7.071980676328502,FRUTA,1658032.654924626,4740000,91,91,646.5,7.104395604395604,2010
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
pepino cohom,44,44,475,10.795454545454501,501000,5025000,,,,41,40,411,10.275,590000,5025000,85,84,886,10.547619047619047,FRUTA,545500,10050000,0,0,0,0,2013
sorgo,712,712,2806.5999999999999,3.94185393258427,650000,2308000,,,,225,225,890.5,3.957777777777778,629354.29533969681,2332000,937,937,3697.0999999999999,3.945677694770544,G-SECO,639677.1476698484,2320000,485,485,1932,3.983505154639175,2009
pepino rellenar,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
cebolla cabeza,66,66,801,12.136363636363599,870000,7020000,,,,37,33,306,9.272727272727273,832000,7020000,103,99,1107,11.181818181818182,BULBO,851000,7020000,0,0,0,0,2012
sandia,198,183,1659.5,9.068306010928961,538000,3250200,,,,62,57,661,11.596491228070175,793759.45537065051,3225000.0000000005,260,240,2320.5,9.668749999999999,FRUTA,665879.72768532531,3237600,63,63,954,15.142857142857142,2010
tabaco negro,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,H-SECA,0,0,0,0,0,0,2012
melon,130,130,2283,17.5615384615385,1200000,6500000,,,,137,132,2111,15.992424242424242,1166000,6500000,267,262,4394,16.770992366412212,FRUTA,1183000,6500000,0,0,0,0,2012
maiz.trad. amaril,5085,4981,7195.8000000000002,1.44464966874122,745751.54951499496,1290000,,,,4961,4906,7259.0900000000001,1.479635140644109,775601.79030704952,1280000.0000000002,10046,9887,14454.889999999999,1.462009709719834,G-SECO,760676.66991102218,1285000.0000000005,4832,4832,7218,1.493791390728477,2009
tabaco rubio,1346.2,1346.2,3217.0799999999999,2.38974892289407,5200000,12350000,,,,209,209,507.90000000000003,2.430143540669857,5274096.4756841892,12150600,1555.1999999999998,1555.1999999999998,3724.98,2.395177469135802,H-SECA,5237048.2378420951,12250300,1361,1361,3393.5999999999999,2.493460690668626,2010
tabaco negro,0,0,0,0,,0,,,,20.199999999999999,20.199999999999999,44.439999999999998,2.2,4700000.0000000009,7500000,20.199999999999999,20.199999999999999,44.439999999999998,2.2,H-SECA,4700000.0000000009,7500000,0,0,0,0,2009
arveja,893,846,4721.8999999999996,5.58144208037825,1654372.18068998,4803000,,,,903,773,4397.6000000000004,5.689003880983183,1783761.9838093501,5472500,1796,1619,9119.5,5.632798023471278,VERDE,1719067.0822496633,5137750,920.20000000000005,920.20000000000005,5377.4000000000005,5.843729623994784,2010
arroz riego,16814,16814,116923.10000000001,6.95391340549542,911528,6156742.8239514204,,,,15421,15420,107712.5,6.985246433203631,892054,6156742.8239514176,32235,32234,224635.60000000001,6.968902401191289,P-VERDE,901791,6156742.8239514176,0,0,0,0,2013
ahuyama,145,131.80000000000001,1944,14.749620637329301,397000,3681049.0321252099,,,,122,111,1684,15.171171171171171,404000.00000000006,3681049.0321252057,267,242.80000000000001,3628,14.942339373970345,FRUTA,400500,3681049.0321252057,0,0,0,0,2013
hortalizas,345,339.5,1949,5.74079528718704,755987.68599281705,2556521.7391304402,,,,312,304.5,1751,5.750410509031199,752684.75157053105,2703685.8974358994,657,644,3700,5.745341614906832,VERDE,754336.21878167405,2630103.8182831672,332,332,1988.8,5.990361445783132,2008
tomate mesa,655,627,11136.75,17.761961722488,1057618.2458975899,11355351.145038201,,,,555,536,9240.7399999999998,17.24018656716418,1184910.2452833862,11418300,1210,1163,20377.489999999998,17.521487532244194,VERDE,1121264.2455904889,11386825.572519084,676.5,676.5,12003,17.742793791574279,2009
soya,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
maiz tec. blanco,2277,2267,8752,3.8606087340097,880000,3272211.90305983,,,,1862,1734,6593.6999999999998,3.802595155709342,900000.00000000012,3272211.9030598318,4139,4001,15345.700000000001,3.835466133466634,G-SECO,890000.00000000023,3272211.9030598314,0,0,0,0,2012
hortalizas,467.5,429.5,2310.1500000000001,5.37869615832363,860000,3200000,,,,431.5,383,1953.1500000000001,5.099608355091384,860000.00000000012,3199999.9999999995,899,812.5,4263.3000000000002,5.247138461538462,VERDE,860000,3199999.9999999991,0,0,0,0,2011
maiz.trad. amaril,5659,5659,8212.7000000000007,1.45126347411203,775000,1360415.5959228501,,,,4753,4647,6468.1999999999998,1.391908758338713,785000.00000000012,1360415.5959228531,10412,10306,14680.900000000001,1.424500291092568,G-SECO,780000,1360415.5959228533,0,0,0,0,2012
frijol tradicio.,4413,4215,2510.4499999999998,0.595599051008304,2962308.5502599101,1668100,,,,4284.5,4108,2448.75,0.596092989289192,2499999.9999999995,1668100.0000000002,8697.5,8323,4959.1999999999998,0.595842845127959,G-SECO,2731154.2751299567,1668100,0,0,0,0,2011
papa,23,23,259,11.2608695652174,637065.63706563704,2315000,,,,23,23,256,11.130434782608695,565312.5,2315000,46,46,515,11.195652173913043,TUBERC,601189.06853281846,2315000,20,20,220,11,2007
maiz.trad. blanco,3909,3898,5971.6999999999998,1.53199076449461,680572.70124085306,1020000,,,,2910,2882,4166,1.445523941707148,748222.27556409023,1076000,6819,6780,10137.700000000001,1.49523598820059,G-SECO,714397.48840247153,1048000,3307,3307,4975,1.504384638645298,2008
